customer_id,signup_date,isbn,non_book_upc,author_events,ticket_id,stock_quantity,order_id,order_status,reward_points
cust_00001,2026-03-02,978-1-19116-146-3,,,,18,ord_20458,ready_for_pickup,400
cust_00002,2025-06-08,978-0-46434-564-5,,,,10,ord_58520,Completed,25
cust_00003,2025-11-25,978-1-89840-750-2,,,,34,ord_42087,ready_for_pickup,100
cust_00004,2026-03-20,978-0-93886-804-8,,,,14,ord_99733,Completed,400
cust_00005,2025-04-23,978-1-14207-924-5,,,,25,ord_45093,pending,25
cust_00006,,978-1-95909-611-6,,2026-06-09T11:30:00Z,tkt_00006,8,ord_42325,Completed,250
cust_00007,2026-05-09,978-0-57447-324-2,,2026-07-31T16:00:00Z,tkt_00007,3,ord_24371,ready_for_pickup,250
cust_00008,2025-08-07,978-0-88172-165-6,,,,24,ord_88104,cancelled,150
cust_00009,2025-11-09,978-1-99166-838-1,,,,34,ord_44973,Completed,0
cust_00010,2025-12-22,978-0-30730-564-0,,,,16,ord_75612,ready_for_pickup,150
cust_00011,2025-06-13,9780937486199,,,,12,ord_30032,Completed,400
cust_00012,2025-08-09,978-1-88504-431-7,,,,1,ord_24662,Completed,400
cust_00013,2026-01-05,978-1-17592-346-9,,,,5,ord_21226,cancelled,400
cust_00014,2025-05-06,978-1-26828-775-7,824896383465,,,28,ord_77839,cancelled,0
cust_00015,2025-11-05,978-1-18392-446-0,,,,37,ord_82603,ready_for_pickup,150
cust_00003,2025-10-08,978-1-19305-824-0,310518347382,,,36,ord_85525,cancelled,25
cust_00017,2026-06-24,978-0-34957-196-1,670106513338,2026-05-12T14:45:00Z,tkt_00017,28,ord_28373,cancelled,25
cust_00018,2025-12-07,978-0-42742-995-1,,,,28,ord_82132,pending,0
cust_00019,2025-03-12,978-1-40982-270-6,,,,31,ord_73092,ready_for_pickup,400
cust_00020,2026-04-11,978-1-31579-488-0,468723430980,2026-03-31T13:45:00Z,tkt_00020,20,ord_17492,pending,150
cust_00021,2026-06-28,978-1-17455-620-1,,,tkt_09999,11,ord_18981,pending,250
cust_00022,2025-10-23,978-0-25713-683-3,,,,37,ord_87924,pending,150
cust_00023,2025-05-19,978-0-96163-697-9,,2026-08-14T14:30:00Z,tkt_00023,13,ord_97782,Completed,25
cust_00024,2025-11-23,978-0-27154-787-4,,,,29,ord_51441,pending,0
cust_00025,2026-06-09,978-1-19602-650-3,513542784980,2026-07-28T13:15:00Z,tkt_00025,35,ord_49240,pending,25
cust_00026,2025-11-22,978-1-24029-860-8,,2025-08-03T13:30:00Z,tkt_00026,-3,ord_37607,Completed,25
cust_00027,2025-11-22,978-0-42914-966-0,164005242786,,,35,ord_11267,pending,0
cust_00028,2025-07-27,978-1-58393-696-8,,2025-07-26T15:15:00Z,tkt_00028,2,ord_50404,pending,400
cust_00029,2025-04-06,978-0-37535-798-3,,2025-06-10T14:45:00Z,tkt_00029,39,ord_30257,ready_for_pickup,400
cust_00030,2025-08-10,978-1-64040-125-2,,,,21,ord_63964,ready_for_pickup,50
